window_size_minutes,pred_size_minutes,stride,k,epochs_trained,early_stopped,train_loss,val_loss,test_loss,training_time_s,timestamp
300,60,30,1000,200,0,0.001072,0.001016,0.001153,1578.86,2025-11-20T22:13:52.628699
360,120,30,1000,200,0,0.004919,0.005844,0.005949,1362.09,2025-11-20T22:36:34.723233
420,180,30,1000,200,0,0.012941,0.016107,0.016203,1102.55,2025-11-20T22:54:57.281158
480,240,30,1000,200,0,0.026178,0.023092,0.023001,916.44,2025-11-20T23:10:13.722045
540,300,30,1000,200,0,0.051012,0.049192,0.052915,781.25,2025-11-20T23:23:14.979447
420,60,30,1000,200,0,0.001639,0.004314,0.004447,1098.28,2025-11-20T23:41:33.264183
480,120,30,1000,200,0,0.008072,0.005102,0.006302,935.92,2025-11-20T23:57:09.183054
540,180,30,1000,200,0,0.016085,0.015198,0.016887,803.29,2025-11-21T00:10:32.474098
600,240,30,1000,200,0,0.034718,0.127295,0.127154,686.94,2025-11-21T00:21:59.417128
660,300,30,1000,200,0,0.055652,0.055581,0.046069,586.82,2025-11-21T00:31:46.237736
540,60,30,1000,200,0,0.001563,0.001636,0.001555,811.18,2025-11-21T00:45:17.425037
600,120,30,1000,200,0,0.008767,0.018151,0.016601,687.83,2025-11-21T00:56:45.262834
660,180,30,1000,200,0,0.021542,0.022260,0.025689,596.67,2025-11-21T01:06:41.939885
720,240,30,1000,200,0,0.043718,0.031962,0.036933,498.44,2025-11-21T01:15:00.382135
780,300,30,1000,200,0,0.062686,0.058277,0.056946,431.58,2025-11-21T01:22:11.962388
