window_size_minutes,pred_size_minutes,stride,k,epochs_trained,early_stopped,train_loss,val_loss,test_loss,training_time_s,timestamp
300,60,30,1000,200,0,0.000323,0.000675,0.000782,1731.05,2025-11-21T14:53:05.613645
360,120,30,1000,200,0,0.001145,0.002965,0.002936,1597.98,2025-11-21T15:19:43.600367
420,180,30,1000,200,0,0.002656,0.006423,0.005629,1434.49,2025-11-21T15:43:38.092085
480,240,30,1000,200,0,0.004226,0.009911,0.010061,1313.18,2025-11-21T16:05:31.271481
540,300,30,1000,200,0,0.007672,0.017810,0.016333,1193.11,2025-11-21T16:25:24.383215
420,60,30,1000,200,0,0.000433,0.000781,0.000822,1505.32,2025-11-21T16:50:29.706226
480,120,30,1000,200,0,0.001068,0.002370,0.002530,1368.38,2025-11-21T17:13:18.089535
540,180,30,1000,200,0,0.002707,0.004580,0.004808,1249.92,2025-11-21T17:34:08.014071
600,240,30,1000,200,0,0.004594,0.007904,0.009292,1154.17,2025-11-21T17:53:22.184947
660,300,30,1000,200,0,0.005640,0.011889,0.011039,1070.06,2025-11-21T18:11:12.245699
540,60,30,1000,200,0,0.000395,0.000701,0.000845,1512.99,2025-11-21T18:36:25.236382
600,120,30,1000,200,0,0.001638,0.003275,0.003587,1383.94,2025-11-21T18:59:29.177203
660,180,30,1000,200,0,0.003107,0.006726,0.007224,1276.68,2025-11-21T19:20:45.858742
720,240,30,1000,200,0,0.003543,0.007644,0.007373,1200.11,2025-11-21T19:40:45.975483
780,300,30,1000,200,0,0.007391,0.014374,0.012216,1096.88,2025-11-21T19:59:02.857294
