window_size_minutes,pred_size_minutes,stride,k,epochs_trained,early_stopped,train_loss,val_loss,test_loss,training_time_s,timestamp
300,60,30,1000,200,0,0.001067,0.001993,0.001918,1814.44,2025-11-21T00:00:21.091698
360,120,30,1000,200,0,0.004902,0.005417,0.005589,1533.12,2025-11-21T00:25:54.219463
420,180,30,1000,200,0,0.013212,0.015712,0.015212,1257.59,2025-11-21T00:46:51.816451
480,240,30,1000,200,0,0.027670,0.043948,0.043704,1058.70,2025-11-21T01:04:30.519804
540,300,30,1000,200,0,0.056732,0.053606,0.057026,902.41,2025-11-21T01:19:32.935136
420,60,30,1000,200,0,0.001355,0.001069,0.001097,1287.08,2025-11-21T01:41:00.022248
480,120,30,1000,200,0,0.007216,0.009302,0.009104,1100.43,2025-11-21T01:59:20.454434
540,180,30,1000,200,0,0.019190,0.019319,0.020649,936.56,2025-11-21T02:14:57.018943
600,240,30,1000,200,0,0.081974,0.169965,0.186517,802.09,2025-11-21T02:28:19.113345
660,300,30,1000,200,0,0.050712,0.045507,0.056442,675.13,2025-11-21T02:39:34.248221
540,60,30,1000,200,0,0.002344,0.002031,0.002030,938.65,2025-11-21T02:55:12.899900
600,120,30,1000,200,0,0.060972,0.067481,0.064558,806.39,2025-11-21T03:08:39.293102
660,180,30,1000,200,0,0.019259,0.014958,0.019870,685.36,2025-11-21T03:20:04.660167
720,240,30,1000,200,0,0.039124,0.037073,0.039409,576.16,2025-11-21T03:29:40.826762
780,300,30,1000,200,0,0.067842,0.099787,0.081685,485.30,2025-11-21T03:37:46.133300
