window_size_minutes,pred_size_minutes,stride,k,epochs_trained,early_stopped,train_loss,val_loss,test_loss,training_time_s,timestamp
300,60,30,1000,188,1,0.001148,0.000996,0.001278,1539.21,2025-11-20T00:53:36.744001
360,120,30,1000,122,1,0.006817,0.010340,0.010547,796.56,2025-11-20T01:06:53.311375
300,60,30,1000,140,1,0.001352,0.001167,0.001173,1121.16,2025-11-20T01:07:26.417172
420,180,30,1000,181,1,0.014608,0.016302,0.016204,978.34,2025-11-20T01:23:11.653967
360,120,30,1000,147,1,0.005909,0.005576,0.005443,977.01,2025-11-20T01:23:43.430770
480,240,30,1000,127,1,0.038506,0.037143,0.039773,593.14,2025-11-20T01:33:04.815340
420,180,30,1000,194,1,0.013541,0.012853,0.013114,1090.55,2025-11-20T01:41:53.979593
540,300,30,1000,189,1,0.052374,0.086941,0.089489,739.50,2025-11-20T01:45:24.317976
480,240,30,1000,152,1,0.034392,0.024555,0.028299,705.03,2025-11-20T01:53:39.012881
420,60,30,1000,131,1,0.001686,0.001836,0.001820,724.60,2025-11-20T01:57:28.920396
540,300,30,1000,172,1,0.044080,0.047592,0.049181,677.13,2025-11-20T02:04:56.145174
480,120,30,1000,167,1,0.007909,0.012843,0.013348,781.39,2025-11-20T02:10:30.315104
420,60,30,1000,127,1,0.001502,0.001790,0.001790,724.11,2025-11-20T02:17:00.255488
540,180,30,1000,175,1,0.016503,0.017150,0.016442,707.27,2025-11-20T02:22:17.586747
480,120,30,1000,165,1,0.006905,0.006718,0.006869,774.67,2025-11-20T02:29:54.924381
600,240,30,1000,153,1,0.046372,0.051035,0.051240,524.34,2025-11-20T02:31:01.926227
660,300,30,1000,148,1,0.075452,0.051211,0.056985,443.02,2025-11-20T02:38:24.944468
540,180,30,1000,185,1,0.017864,0.025242,0.023335,746.44,2025-11-20T02:42:21.369186
540,60,30,1000,121,1,0.002488,0.002601,0.002670,537.68,2025-11-20T02:47:22.628073
600,240,30,1000,153,1,0.038329,0.039653,0.048996,525.74,2025-11-20T02:51:07.114385
600,120,30,1000,139,1,0.011115,0.013476,0.015230,516.89,2025-11-20T02:55:59.518812
660,180,30,1000,134,1,0.027827,0.037313,0.037629,428.71,2025-11-20T03:03:08.230129
660,300,30,1000,255,1,0.039533,0.046505,0.037862,742.57,2025-11-20T03:03:29.683545
720,240,30,1000,209,1,0.038771,0.027290,0.029545,559.56,2025-11-20T03:12:27.799376
540,60,30,1000,157,1,0.001950,0.003153,0.003050,686.99,2025-11-20T03:14:56.677459
780,300,30,1000,138,1,0.090652,0.072325,0.073859,323.18,2025-11-20T03:17:50.985821
600,120,30,1000,165,1,0.008936,0.007364,0.007219,615.56,2025-11-20T03:25:12.236005
660,180,30,1000,163,1,0.022972,0.018943,0.019597,515.73,2025-11-20T03:33:47.970564
720,240,30,1000,180,1,0.037730,0.042643,0.039752,475.23,2025-11-20T03:41:43.207781
780,300,30,1000,145,1,0.132059,0.074885,0.065270,333.88,2025-11-20T03:47:17.093478
