window_size_minutes,pred_size_minutes,stride,k,epochs_trained,early_stopped,train_loss,val_loss,test_loss,training_time_s,timestamp
300,60,30,1000,127,1,0.001254,0.001768,0.001843,1005.49,2025-11-20T17:13:15.780998
360,120,30,1000,145,1,0.005496,0.006423,0.006024,930.34,2025-11-20T17:28:46.125333
420,180,30,1000,129,1,0.017019,0.020797,0.023450,702.83,2025-11-20T17:40:28.957642
480,240,30,1000,123,1,0.045781,0.039302,0.035327,577.86,2025-11-20T17:50:06.822603
540,300,30,1000,161,1,0.057928,0.059696,0.059253,636.79,2025-11-20T18:00:43.614300
420,60,30,1000,160,1,0.001691,0.002055,0.001902,902.54,2025-11-20T18:15:46.160643
480,120,30,1000,151,1,0.008636,0.017252,0.017175,734.26,2025-11-20T18:28:00.425940
540,180,30,1000,148,1,0.022522,0.030196,0.030623,604.96,2025-11-20T18:38:05.394036
600,240,30,1000,164,1,0.036004,0.084511,0.082984,574.55,2025-11-20T18:47:39.942514
660,300,30,1000,157,1,0.058073,0.100873,0.094811,469.71,2025-11-20T18:55:29.652724
540,60,30,1000,156,1,0.001868,0.003728,0.003599,638.77,2025-11-20T19:06:08.428625
600,120,30,1000,146,1,0.011412,0.009947,0.009996,526.24,2025-11-20T19:14:54.672424
660,180,30,1000,182,1,0.022905,0.018588,0.020617,571.77,2025-11-20T19:24:26.444241
720,240,30,1000,183,1,0.044556,0.031119,0.035304,488.09,2025-11-20T19:32:34.537601
780,300,30,1000,197,1,0.049702,0.047154,0.053807,457.24,2025-11-20T19:40:11.785217
