window_size_minutes,pred_size_minutes,stride,k,epochs_trained,early_stopped,train_loss,val_loss,test_loss,training_time_s,timestamp
300,60,30,1000,126,1,0.000561,0.000963,0.000988,2825.48,2025-11-19T20:45:27.485030
360,120,30,1000,147,1,0.001718,0.003471,0.003647,2922.31,2025-11-19T21:34:09.802309
420,180,30,1000,149,1,0.004117,0.006177,0.006012,2669.79,2025-11-19T22:18:39.602697
480,240,30,1000,151,1,0.007086,0.010972,0.012320,2446.50,2025-11-19T22:59:26.110932
540,300,30,1000,132,1,0.012071,0.021948,0.020405,1963.97,2025-11-19T23:32:10.087000
420,60,30,1000,122,1,0.000589,0.000912,0.000986,2204.80,2025-11-20T00:08:54.889444
480,120,30,1000,200,1,0.001434,0.003003,0.002658,3216.72,2025-11-20T01:02:31.612116
540,180,30,1000,256,1,0.001774,0.004592,0.004547,3764.26,2025-11-20T02:05:15.882581
600,240,30,1000,154,1,0.006112,0.011217,0.010724,2089.11,2025-11-20T02:40:05.003860
660,300,30,1000,131,1,0.015544,0.019459,0.017096,1615.27,2025-11-20T03:07:00.274601
540,60,30,1000,158,1,0.000528,0.000845,0.000863,2354.38,2025-11-20T03:46:14.658640
600,120,30,1000,139,1,0.002337,0.005030,0.004548,1876.08,2025-11-20T04:17:30.740452
660,180,30,1000,171,1,0.003499,0.005650,0.006072,2108.14,2025-11-20T04:52:38.887340
720,240,30,1000,242,1,0.002174,0.007511,0.007784,2709.42,2025-11-20T05:37:48.314111
780,300,30,1000,265,1,0.002754,0.009561,0.008815,2727.75,2025-11-20T06:23:16.066583
