Starting training for TempTPI with the following parameters:
	k - 1000
	epochs - 300
	DS: Max timediff in seq - 15
	DS: Total window size - 420
	DS: Prediction window size - 120
	DS: Stride - 15
	Training: Batch size - 32
	Training: Learning rate - 0.0001

Total dataset size: 37114
Using cuda...
Epoch 1/300 | Train Loss: 0.219666 | Val Loss: 0.024903
Epoch 2/300 | Train Loss: 0.028790 | Val Loss: 0.023775
Epoch 3/300 | Train Loss: 0.029244 | Val Loss: 0.024714
Epoch 4/300 | Train Loss: 0.024886 | Val Loss: 0.024521
Epoch 5/300 | Train Loss: 0.020067 | Val Loss: 0.014738
Epoch 6/300 | Train Loss: 0.016041 | Val Loss: 0.013925
Epoch 7/300 | Train Loss: 0.014277 | Val Loss: 0.019094
Epoch 8/300 | Train Loss: 0.013802 | Val Loss: 0.016324
Epoch 9/300 | Train Loss: 0.012956 | Val Loss: 0.009852
Epoch 10/300 | Train Loss: 0.011115 | Val Loss: 0.007443
Epoch 11/300 | Train Loss: 0.010995 | Val Loss: 0.011096
Epoch 12/300 | Train Loss: 0.009705 | Val Loss: 0.022869
Epoch 13/300 | Train Loss: 0.009679 | Val Loss: 0.011589
Epoch 14/300 | Train Loss: 0.009710 | Val Loss: 0.010917
Epoch 15/300 | Train Loss: 0.009099 | Val Loss: 0.010495
Epoch 16/300 | Train Loss: 0.009151 | Val Loss: 0.011048
Epoch 17/300 | Train Loss: 0.008574 | Val Loss: 0.007601
Epoch 18/300 | Train Loss: 0.008416 | Val Loss: 0.010802
Epoch 19/300 | Train Loss: 0.008160 | Val Loss: 0.009330
Epoch 20/300 | Train Loss: 0.008501 | Val Loss: 0.006433
Epoch 21/300 | Train Loss: 0.007509 | Val Loss: 0.010011
Epoch 22/300 | Train Loss: 0.007495 | Val Loss: 0.008626
Epoch 23/300 | Train Loss: 0.007486 | Val Loss: 0.006331
Epoch 24/300 | Train Loss: 0.007334 | Val Loss: 0.006465
Epoch 25/300 | Train Loss: 0.007151 | Val Loss: 0.006690
Epoch 26/300 | Train Loss: 0.007019 | Val Loss: 0.009204
Epoch 27/300 | Train Loss: 0.006865 | Val Loss: 0.007103
Epoch 28/300 | Train Loss: 0.006895 | Val Loss: 0.008919
Epoch 29/300 | Train Loss: 0.006766 | Val Loss: 0.009536
Epoch 30/300 | Train Loss: 0.006497 | Val Loss: 0.008880
