Starting training for TempTPT with the following parameters:
	k - 1000
	epochs - 300
	DS: Max timediff in seq - 15
	DS: Total window size - 420
	DS: Prediction window size - 120
	DS: Stride - 15
	Training: Batch size - 32
	Training: Learning rate - 0.0001

Total dataset size: 37114
Using cuda...
Epoch 1/300 | Train Loss: 0.106691 | Val Loss: 0.023380
Epoch 2/300 | Train Loss: 0.022249 | Val Loss: 0.023805
Epoch 3/300 | Train Loss: 0.018124 | Val Loss: 0.019891
Epoch 4/300 | Train Loss: 0.015602 | Val Loss: 0.014099
Epoch 5/300 | Train Loss: 0.014545 | Val Loss: 0.013775
Epoch 6/300 | Train Loss: 0.014161 | Val Loss: 0.011842
Epoch 7/300 | Train Loss: 0.012198 | Val Loss: 0.008401
Epoch 8/300 | Train Loss: 0.010768 | Val Loss: 0.007246
Epoch 9/300 | Train Loss: 0.010454 | Val Loss: 0.009081
Epoch 10/300 | Train Loss: 0.009570 | Val Loss: 0.006073
Epoch 11/300 | Train Loss: 0.008839 | Val Loss: 0.015355
Epoch 12/300 | Train Loss: 0.008411 | Val Loss: 0.011396
Epoch 13/300 | Train Loss: 0.009103 | Val Loss: 0.008272
Epoch 14/300 | Train Loss: 0.008207 | Val Loss: 0.008970
Epoch 15/300 | Train Loss: 0.008222 | Val Loss: 0.005311
Epoch 16/300 | Train Loss: 0.007318 | Val Loss: 0.005692
Epoch 17/300 | Train Loss: 0.007648 | Val Loss: 0.004959
Epoch 18/300 | Train Loss: 0.007113 | Val Loss: 0.008437
Epoch 19/300 | Train Loss: 0.006810 | Val Loss: 0.005580
Epoch 20/300 | Train Loss: 0.006616 | Val Loss: 0.006550
Epoch 21/300 | Train Loss: 0.006488 | Val Loss: 0.005946
Epoch 22/300 | Train Loss: 0.006236 | Val Loss: 0.007351
Epoch 23/300 | Train Loss: 0.005988 | Val Loss: 0.007236
Epoch 24/300 | Train Loss: 0.006055 | Val Loss: 0.005622
Epoch 25/300 | Train Loss: 0.005528 | Val Loss: 0.006364
Epoch 26/300 | Train Loss: 0.005302 | Val Loss: 0.005114
Epoch 27/300 | Train Loss: 0.005166 | Val Loss: 0.005818
Epoch 28/300 | Train Loss: 0.005089 | Val Loss: 0.005204
