Starting training for TPInform with the following parameters:
	k - 1000
	epochs - 300
	DS: Max timediff in seq - 15
	DS: Total window size - 420
	DS: Prediction window size - 120
	DS: Stride - 15
	Training: Batch size - 32
	Training: Learning rate - 0.0001

Total dataset size: 37114
Using cuda...
Epoch 1/300 | Train Loss: 0.179620 | Val Loss: 0.020137
Epoch 2/300 | Train Loss: 0.027519 | Val Loss: 0.043364
Epoch 3/300 | Train Loss: 0.025353 | Val Loss: 0.020550
Epoch 4/300 | Train Loss: 0.023227 | Val Loss: 0.022658
Epoch 5/300 | Train Loss: 0.017398 | Val Loss: 0.016198
Epoch 6/300 | Train Loss: 0.015007 | Val Loss: 0.010422
Epoch 7/300 | Train Loss: 0.012820 | Val Loss: 0.009937
Epoch 8/300 | Train Loss: 0.012411 | Val Loss: 0.007488
Epoch 9/300 | Train Loss: 0.010687 | Val Loss: 0.014974
Epoch 10/300 | Train Loss: 0.010183 | Val Loss: 0.009922
Epoch 11/300 | Train Loss: 0.008694 | Val Loss: 0.005961
Epoch 12/300 | Train Loss: 0.009000 | Val Loss: 0.014689
Epoch 13/300 | Train Loss: 0.008473 | Val Loss: 0.006641
Epoch 14/300 | Train Loss: 0.008289 | Val Loss: 0.006893
Epoch 15/300 | Train Loss: 0.007956 | Val Loss: 0.009206
Epoch 16/300 | Train Loss: 0.007975 | Val Loss: 0.007093
Epoch 17/300 | Train Loss: 0.008231 | Val Loss: 0.007153
Epoch 18/300 | Train Loss: 0.007536 | Val Loss: 0.010777
Epoch 19/300 | Train Loss: 0.007388 | Val Loss: 0.006393
Epoch 20/300 | Train Loss: 0.007526 | Val Loss: 0.007660
Epoch 21/300 | Train Loss: 0.006968 | Val Loss: 0.011014
Epoch 22/300 | Train Loss: 0.007076 | Val Loss: 0.006308
Epoch 23/300 | Train Loss: 0.006826 | Val Loss: 0.005630
Epoch 24/300 | Train Loss: 0.006949 | Val Loss: 0.005809
Epoch 25/300 | Train Loss: 0.006984 | Val Loss: 0.005807
Epoch 26/300 | Train Loss: 0.006472 | Val Loss: 0.010025
Epoch 27/300 | Train Loss: 0.006604 | Val Loss: 0.004976
Epoch 28/300 | Train Loss: 0.006421 | Val Loss: 0.005534
Epoch 29/300 | Train Loss: 0.006136 | Val Loss: 0.005578
Epoch 30/300 | Train Loss: 0.006215 | Val Loss: 0.008405
Epoch 31/300 | Train Loss: 0.006021 | Val Loss: 0.007071
Epoch 32/300 | Train Loss: 0.005967 | Val Loss: 0.007084
Epoch 33/300 | Train Loss: 0.005886 | Val Loss: 0.005005
Epoch 34/300 | Train Loss: 0.005571 | Val Loss: 0.007042
Epoch 35/300 | Train Loss: 0.005487 | Val Loss: 0.009066
