Total dataset size: 9981
Using cuda...
Epoch 1/400 | Train Loss: 0.023822 | Val Loss: 0.000541
Epoch 2/400 | Train Loss: 0.011221 | Val Loss: 0.000285
Epoch 3/400 | Train Loss: 0.007966 | Val Loss: 0.000202
Epoch 4/400 | Train Loss: 0.005923 | Val Loss: 0.000151
Epoch 5/400 | Train Loss: 0.004563 | Val Loss: 0.000160
Epoch 6/400 | Train Loss: 0.003654 | Val Loss: 0.000238
Epoch 7/400 | Train Loss: 0.003020 | Val Loss: 0.000142
Epoch 8/400 | Train Loss: 0.002553 | Val Loss: 0.000171
Epoch 9/400 | Train Loss: 0.002207 | Val Loss: 0.000163
Epoch 10/400 | Train Loss: 0.001930 | Val Loss: 0.000140
Epoch 11/400 | Train Loss: 0.001693 | Val Loss: 0.000132
Epoch 12/400 | Train Loss: 0.001512 | Val Loss: 0.000136
Epoch 13/400 | Train Loss: 0.001361 | Val Loss: 0.000151
Epoch 14/400 | Train Loss: 0.001223 | Val Loss: 0.000117
Epoch 15/400 | Train Loss: 0.001126 | Val Loss: 0.000121
Epoch 16/400 | Train Loss: 0.001027 | Val Loss: 0.000124
Epoch 17/400 | Train Loss: 0.000945 | Val Loss: 0.000107
Epoch 18/400 | Train Loss: 0.000882 | Val Loss: 0.000217
Epoch 19/400 | Train Loss: 0.000826 | Val Loss: 0.000117
Epoch 20/400 | Train Loss: 0.000767 | Val Loss: 0.000152
Epoch 21/400 | Train Loss: 0.000720 | Val Loss: 0.000109
Epoch 22/400 | Train Loss: 0.000673 | Val Loss: 0.000144
Epoch 23/400 | Train Loss: 0.000638 | Val Loss: 0.000135
Epoch 24/400 | Train Loss: 0.000602 | Val Loss: 0.000111
Epoch 25/400 | Train Loss: 0.000575 | Val Loss: 0.000370
Epoch 26/400 | Train Loss: 0.000546 | Val Loss: 0.000134
Epoch 27/400 | Train Loss: 0.000517 | Val Loss: 0.000130
Epoch 28/400 | Train Loss: 0.000494 | Val Loss: 0.000128
Epoch 29/400 | Train Loss: 0.000475 | Val Loss: 0.000114
Epoch 30/400 | Train Loss: 0.000450 | Val Loss: 0.000128
Epoch 31/400 | Train Loss: 0.000440 | Val Loss: 0.000117
Epoch 32/400 | Train Loss: 0.000416 | Val Loss: 0.000162
Epoch 33/400 | Train Loss: 0.000400 | Val Loss: 0.000123
Epoch 34/400 | Train Loss: 0.000387 | Val Loss: 0.000162
Epoch 35/400 | Train Loss: 0.000371 | Val Loss: 0.000164
Epoch 36/400 | Train Loss: 0.000356 | Val Loss: 0.000110
Epoch 37/400 | Train Loss: 0.000347 | Val Loss: 0.000203
Epoch 38/400 | Train Loss: 0.000347 | Val Loss: 0.000125
Epoch 39/400 | Train Loss: 0.000323 | Val Loss: 0.000155
Epoch 40/400 | Train Loss: 0.000310 | Val Loss: 0.000110
Epoch 41/400 | Train Loss: 0.000299 | Val Loss: 0.000188
Epoch 42/400 | Train Loss: 0.000296 | Val Loss: 0.000112
Epoch 43/400 | Train Loss: 0.000281 | Val Loss: 0.000151
Epoch 44/400 | Train Loss: 0.000276 | Val Loss: 0.000129
Epoch 45/400 | Train Loss: 0.000267 | Val Loss: 0.000103
Epoch 46/400 | Train Loss: 0.000261 | Val Loss: 0.000156
Epoch 47/400 | Train Loss: 0.000253 | Val Loss: 0.000149
Epoch 48/400 | Train Loss: 0.000248 | Val Loss: 0.000129
Epoch 49/400 | Train Loss: 0.000236 | Val Loss: 0.000098
Epoch 50/400 | Train Loss: 0.000232 | Val Loss: 0.000122
Epoch 51/400 | Train Loss: 0.000224 | Val Loss: 0.000101
Epoch 52/400 | Train Loss: 0.000218 | Val Loss: 0.000096
Epoch 53/400 | Train Loss: 0.000213 | Val Loss: 0.000137
Epoch 54/400 | Train Loss: 0.000207 | Val Loss: 0.000127
Epoch 55/400 | Train Loss: 0.000204 | Val Loss: 0.000120
Epoch 56/400 | Train Loss: 0.000196 | Val Loss: 0.000102
Epoch 57/400 | Train Loss: 0.000202 | Val Loss: 0.000145
Epoch 58/400 | Train Loss: 0.000192 | Val Loss: 0.000113
Epoch 59/400 | Train Loss: 0.000188 | Val Loss: 0.000100
Epoch 60/400 | Train Loss: 0.000180 | Val Loss: 0.000112
Epoch 61/400 | Train Loss: 0.000175 | Val Loss: 0.000114
Epoch 62/400 | Train Loss: 0.000174 | Val Loss: 0.000112
Epoch 63/400 | Train Loss: 0.000175 | Val Loss: 0.000138
Epoch 64/400 | Train Loss: 0.000171 | Val Loss: 0.000108
Epoch 65/400 | Train Loss: 0.000164 | Val Loss: 0.000087
Epoch 66/400 | Train Loss: 0.000167 | Val Loss: 0.000085
Epoch 67/400 | Train Loss: 0.000160 | Val Loss: 0.000110
Epoch 68/400 | Train Loss: 0.000153 | Val Loss: 0.000143
Epoch 69/400 | Train Loss: 0.000152 | Val Loss: 0.000085
Epoch 70/400 | Train Loss: 0.000152 | Val Loss: 0.000093
Epoch 71/400 | Train Loss: 0.000149 | Val Loss: 0.000090
Epoch 72/400 | Train Loss: 0.000148 | Val Loss: 0.000109
Epoch 73/400 | Train Loss: 0.000146 | Val Loss: 0.000086
Epoch 74/400 | Train Loss: 0.000142 | Val Loss: 0.000089
Epoch 75/400 | Train Loss: 0.000139 | Val Loss: 0.000117
Epoch 76/400 | Train Loss: 0.000136 | Val Loss: 0.000097
Epoch 77/400 | Train Loss: 0.000131 | Val Loss: 0.000092
Epoch 78/400 | Train Loss: 0.000133 | Val Loss: 0.000081
Epoch 79/400 | Train Loss: 0.000131 | Val Loss: 0.000080
Epoch 80/400 | Train Loss: 0.000129 | Val Loss: 0.000126
Epoch 81/400 | Train Loss: 0.000129 | Val Loss: 0.000091
Epoch 82/400 | Train Loss: 0.000127 | Val Loss: 0.000079
Epoch 83/400 | Train Loss: 0.000123 | Val Loss: 0.000080
