Starting training for TPTrans with the following parameters:
	k - 2500
	epochs - 300
	DS: Max timediff in seq - 20
	DS: Total window size - 420
	DS: Prediction window size - 120
	DS: Stride - 15
	Training: Batch size - 64
	Training: Learning rate - 0.0005

Total dataset size: 9993
Using cuda...
Epoch 1/300 | Train Loss: 1.516623 | Val Loss: 0.058867
Epoch 2/300 | Train Loss: 0.062533 | Val Loss: 0.062258
Epoch 3/300 | Train Loss: 0.062006 | Val Loss: 0.056104
Epoch 4/300 | Train Loss: 0.047417 | Val Loss: 0.026816
Epoch 5/300 | Train Loss: 0.023116 | Val Loss: 0.016740
Epoch 6/300 | Train Loss: 0.020784 | Val Loss: 0.045418
Epoch 7/300 | Train Loss: 0.029572 | Val Loss: 0.025966
Epoch 8/300 | Train Loss: 0.035561 | Val Loss: 0.018708
Epoch 9/300 | Train Loss: 0.026762 | Val Loss: 0.043941
Epoch 10/300 | Train Loss: 0.020017 | Val Loss: 0.013679
Epoch 11/300 | Train Loss: 0.018069 | Val Loss: 0.017046
Epoch 12/300 | Train Loss: 0.019767 | Val Loss: 0.021739
Epoch 13/300 | Train Loss: 0.021958 | Val Loss: 0.025700
Epoch 14/300 | Train Loss: 0.022125 | Val Loss: 0.020615
Epoch 15/300 | Train Loss: 0.021359 | Val Loss: 0.027979
Epoch 16/300 | Train Loss: 0.017718 | Val Loss: 0.013163
Epoch 17/300 | Train Loss: 0.020007 | Val Loss: 0.025873
Epoch 18/300 | Train Loss: 0.021373 | Val Loss: 0.019307
Epoch 19/300 | Train Loss: 0.018122 | Val Loss: 0.020818
Epoch 20/300 | Train Loss: 0.018671 | Val Loss: 0.010973
Epoch 21/300 | Train Loss: 0.021308 | Val Loss: 0.010570
Epoch 22/300 | Train Loss: 0.016916 | Val Loss: 0.042692
Epoch 23/300 | Train Loss: 0.016784 | Val Loss: 0.024779
Epoch 24/300 | Train Loss: 0.017559 | Val Loss: 0.021551
Epoch 25/300 | Train Loss: 0.021026 | Val Loss: 0.055678
Epoch 26/300 | Train Loss: 0.019450 | Val Loss: 0.018998
Epoch 27/300 | Train Loss: 0.017198 | Val Loss: 0.010311
Epoch 28/300 | Train Loss: 0.015818 | Val Loss: 0.018507
Epoch 29/300 | Train Loss: 0.014822 | Val Loss: 0.026693
Epoch 30/300 | Train Loss: 0.017740 | Val Loss: 0.020330
Epoch 31/300 | Train Loss: 0.021267 | Val Loss: 0.017127
Epoch 32/300 | Train Loss: 0.018032 | Val Loss: 0.077698
Epoch 33/300 | Train Loss: 0.024520 | Val Loss: 0.010878
Epoch 34/300 | Train Loss: 0.016480 | Val Loss: 0.017246
Epoch 35/300 | Train Loss: 0.013868 | Val Loss: 0.009212
Epoch 36/300 | Train Loss: 0.016294 | Val Loss: 0.012884
Epoch 37/300 | Train Loss: 0.013974 | Val Loss: 0.014556
Epoch 38/300 | Train Loss: 0.013806 | Val Loss: 0.019900
Epoch 39/300 | Train Loss: 0.013621 | Val Loss: 0.011557
Epoch 40/300 | Train Loss: 0.013775 | Val Loss: 0.010421
Epoch 41/300 | Train Loss: 0.011624 | Val Loss: 0.026029
Epoch 42/300 | Train Loss: 0.011191 | Val Loss: 0.009688
Epoch 43/300 | Train Loss: 0.012179 | Val Loss: 0.012240
Epoch 44/300 | Train Loss: 0.010957 | Val Loss: 0.011192
Epoch 45/300 | Train Loss: 0.011994 | Val Loss: 0.016246
Epoch 46/300 | Train Loss: 0.010403 | Val Loss: 0.010341
Epoch 47/300 | Train Loss: 0.009765 | Val Loss: 0.009409
Epoch 48/300 | Train Loss: 0.011054 | Val Loss: 0.017983
Epoch 49/300 | Train Loss: 0.010611 | Val Loss: 0.012966
Epoch 50/300 | Train Loss: 0.009828 | Val Loss: 0.010762
Epoch 51/300 | Train Loss: 0.011841 | Val Loss: 0.008077
Epoch 52/300 | Train Loss: 0.009167 | Val Loss: 0.009222
Epoch 53/300 | Train Loss: 0.009571 | Val Loss: 0.011630
Epoch 54/300 | Train Loss: 0.008944 | Val Loss: 0.018270
Epoch 55/300 | Train Loss: 0.010872 | Val Loss: 0.008206
Epoch 56/300 | Train Loss: 0.008920 | Val Loss: 0.015586
Epoch 57/300 | Train Loss: 0.011145 | Val Loss: 0.008170
Epoch 58/300 | Train Loss: 0.008742 | Val Loss: 0.006940
Epoch 59/300 | Train Loss: 0.009049 | Val Loss: 0.007369
Epoch 60/300 | Train Loss: 0.007805 | Val Loss: 0.007858
Epoch 61/300 | Train Loss: 0.009272 | Val Loss: 0.009975
Epoch 62/300 | Train Loss: 0.010092 | Val Loss: 0.008277
Epoch 63/300 | Train Loss: 0.008476 | Val Loss: 0.007832
Epoch 64/300 | Train Loss: 0.010034 | Val Loss: 0.019978
Epoch 65/300 | Train Loss: 0.010048 | Val Loss: 0.008359
Epoch 66/300 | Train Loss: 0.007919 | Val Loss: 0.008714
Epoch 67/300 | Train Loss: 0.012780 | Val Loss: 0.010269
Epoch 68/300 | Train Loss: 0.010503 | Val Loss: 0.008356
Epoch 69/300 | Train Loss: 0.008969 | Val Loss: 0.006806
Epoch 70/300 | Train Loss: 0.008755 | Val Loss: 0.008999
Epoch 71/300 | Train Loss: 0.008487 | Val Loss: 0.011320
Epoch 72/300 | Train Loss: 0.008555 | Val Loss: 0.009765
Epoch 73/300 | Train Loss: 0.007886 | Val Loss: 0.014564
Epoch 74/300 | Train Loss: 0.009932 | Val Loss: 0.008778
Epoch 75/300 | Train Loss: 0.007518 | Val Loss: 0.007584
Epoch 76/300 | Train Loss: 0.011357 | Val Loss: 0.008380
Epoch 77/300 | Train Loss: 0.013836 | Val Loss: 0.008960
Epoch 78/300 | Train Loss: 0.010431 | Val Loss: 0.010483
Epoch 79/300 | Train Loss: 0.011286 | Val Loss: 0.012265
