Total dataset size: 9981
Using cuda...
Epoch 1/400 | Train Loss: 0.102288 | Val Loss: 0.020643
Epoch 2/400 | Train Loss: 0.039230 | Val Loss: 0.008868
Epoch 3/400 | Train Loss: 0.027853 | Val Loss: 0.004701
Epoch 4/400 | Train Loss: 0.021206 | Val Loss: 0.002664
Epoch 5/400 | Train Loss: 0.016704 | Val Loss: 0.001778
Epoch 6/400 | Train Loss: 0.013362 | Val Loss: 0.001252
Epoch 7/400 | Train Loss: 0.010730 | Val Loss: 0.000913
Epoch 8/400 | Train Loss: 0.008957 | Val Loss: 0.000732
Epoch 9/400 | Train Loss: 0.007464 | Val Loss: 0.000582
Epoch 10/400 | Train Loss: 0.006275 | Val Loss: 0.000503
Epoch 11/400 | Train Loss: 0.005451 | Val Loss: 0.000455
Epoch 12/400 | Train Loss: 0.004664 | Val Loss: 0.000446
Epoch 13/400 | Train Loss: 0.004070 | Val Loss: 0.000355
Epoch 14/400 | Train Loss: 0.003560 | Val Loss: 0.000338
Epoch 15/400 | Train Loss: 0.003138 | Val Loss: 0.000280
Epoch 16/400 | Train Loss: 0.002801 | Val Loss: 0.000279
Epoch 17/400 | Train Loss: 0.002503 | Val Loss: 0.000244
Epoch 18/400 | Train Loss: 0.002230 | Val Loss: 0.000263
Epoch 19/400 | Train Loss: 0.002022 | Val Loss: 0.000218
Epoch 20/400 | Train Loss: 0.001835 | Val Loss: 0.000221
Epoch 21/400 | Train Loss: 0.001668 | Val Loss: 0.000208
Epoch 22/400 | Train Loss: 0.001530 | Val Loss: 0.000195
Epoch 23/400 | Train Loss: 0.001404 | Val Loss: 0.000206
Epoch 24/400 | Train Loss: 0.001302 | Val Loss: 0.000184
Epoch 25/400 | Train Loss: 0.001229 | Val Loss: 0.000195
Epoch 26/400 | Train Loss: 0.001152 | Val Loss: 0.000178
Epoch 27/400 | Train Loss: 0.001064 | Val Loss: 0.000173
Epoch 28/400 | Train Loss: 0.000996 | Val Loss: 0.000174
Epoch 29/400 | Train Loss: 0.000952 | Val Loss: 0.000166
Epoch 30/400 | Train Loss: 0.000902 | Val Loss: 0.000179
Epoch 31/400 | Train Loss: 0.000854 | Val Loss: 0.000149
Epoch 32/400 | Train Loss: 0.000797 | Val Loss: 0.000178
Epoch 33/400 | Train Loss: 0.000781 | Val Loss: 0.000159
Epoch 34/400 | Train Loss: 0.000744 | Val Loss: 0.000150
Epoch 35/400 | Train Loss: 0.000727 | Val Loss: 0.000148
Epoch 36/400 | Train Loss: 0.000694 | Val Loss: 0.000170
Epoch 37/400 | Train Loss: 0.000661 | Val Loss: 0.000184
Epoch 38/400 | Train Loss: 0.000638 | Val Loss: 0.000153
Epoch 39/400 | Train Loss: 0.000624 | Val Loss: 0.000142
Epoch 40/400 | Train Loss: 0.000624 | Val Loss: 0.000139
Epoch 41/400 | Train Loss: 0.000591 | Val Loss: 0.000160
Epoch 42/400 | Train Loss: 0.000585 | Val Loss: 0.000135
Epoch 43/400 | Train Loss: 0.000557 | Val Loss: 0.000150
Epoch 44/400 | Train Loss: 0.000553 | Val Loss: 0.000150
Epoch 45/400 | Train Loss: 0.000538 | Val Loss: 0.000146
Epoch 46/400 | Train Loss: 0.000528 | Val Loss: 0.000135
Epoch 47/400 | Train Loss: 0.000511 | Val Loss: 0.000131
Epoch 48/400 | Train Loss: 0.000504 | Val Loss: 0.000138
Epoch 49/400 | Train Loss: 0.000486 | Val Loss: 0.000145
Epoch 50/400 | Train Loss: 0.000478 | Val Loss: 0.000131
Epoch 51/400 | Train Loss: 0.000470 | Val Loss: 0.000133
Epoch 52/400 | Train Loss: 0.000466 | Val Loss: 0.000135
Epoch 53/400 | Train Loss: 0.000457 | Val Loss: 0.000153
Epoch 54/400 | Train Loss: 0.000445 | Val Loss: 0.000133
Epoch 55/400 | Train Loss: 0.000432 | Val Loss: 0.000119
Epoch 56/400 | Train Loss: 0.000429 | Val Loss: 0.000126
Epoch 57/400 | Train Loss: 0.000420 | Val Loss: 0.000152
Epoch 58/400 | Train Loss: 0.000422 | Val Loss: 0.000332
Epoch 59/400 | Train Loss: 0.000418 | Val Loss: 0.000163
Epoch 60/400 | Train Loss: 0.000411 | Val Loss: 0.000134
Epoch 61/400 | Train Loss: 0.000405 | Val Loss: 0.000134
Epoch 62/400 | Train Loss: 0.000386 | Val Loss: 0.000127
Epoch 63/400 | Train Loss: 0.000385 | Val Loss: 0.000129
Epoch 64/400 | Train Loss: 0.000372 | Val Loss: 0.000135
Epoch 65/400 | Train Loss: 0.000374 | Val Loss: 0.000115
Epoch 66/400 | Train Loss: 0.000359 | Val Loss: 0.000124
Epoch 67/400 | Train Loss: 0.000353 | Val Loss: 0.000116
Epoch 68/400 | Train Loss: 0.000356 | Val Loss: 0.000135
Epoch 69/400 | Train Loss: 0.000346 | Val Loss: 0.000146
Epoch 70/400 | Train Loss: 0.000354 | Val Loss: 0.000135
Epoch 71/400 | Train Loss: 0.000349 | Val Loss: 0.000141
Epoch 72/400 | Train Loss: 0.000361 | Val Loss: 0.000144
Epoch 73/400 | Train Loss: 0.000366 | Val Loss: 0.000141
Epoch 74/400 | Train Loss: 0.000371 | Val Loss: 0.000164
Epoch 75/400 | Train Loss: 0.000344 | Val Loss: 0.000138
Epoch 76/400 | Train Loss: 0.000339 | Val Loss: 0.000127
Epoch 77/400 | Train Loss: 0.000336 | Val Loss: 0.000150
Epoch 78/400 | Train Loss: 0.000331 | Val Loss: 0.000125
Epoch 79/400 | Train Loss: 0.000318 | Val Loss: 0.000156
Epoch 80/400 | Train Loss: 0.000329 | Val Loss: 0.000142
Epoch 81/400 | Train Loss: 0.000327 | Val Loss: 0.000127
Epoch 82/400 | Train Loss: 0.000312 | Val Loss: 0.000166
Epoch 83/400 | Train Loss: 0.000314 | Val Loss: 0.000150
Epoch 84/400 | Train Loss: 0.000303 | Val Loss: 0.000144
Epoch 85/400 | Train Loss: 0.000298 | Val Loss: 0.000120
Epoch 86/400 | Train Loss: 0.000291 | Val Loss: 0.000124
Epoch 87/400 | Train Loss: 0.000281 | Val Loss: 0.000118
Epoch 88/400 | Train Loss: 0.000285 | Val Loss: 0.000119
Epoch 89/400 | Train Loss: 0.000284 | Val Loss: 0.000143
Epoch 90/400 | Train Loss: 0.000279 | Val Loss: 0.000127
Epoch 91/400 | Train Loss: 0.000283 | Val Loss: 0.000122
Epoch 92/400 | Train Loss: 0.000272 | Val Loss: 0.000156
