Starting training for TPTrans with the following parameters:
	k - experiment
	epochs - 1500
	DS: Max timediff in seq - 300
	DS: Total window size - 20
	DS: Prediction window size - 420
	DS: Stride - 120
	Training: Batch size - 15
	Training: Learning rate - 64

Total dataset size: 9993
Using cuda...
Epoch 1/300 | Train Loss: 11.742794 | Val Loss: 0.175862
Epoch 2/300 | Train Loss: 0.512714 | Val Loss: 0.776555
Epoch 3/300 | Train Loss: 0.330439 | Val Loss: 0.222778
Epoch 4/300 | Train Loss: 0.219225 | Val Loss: 0.070230
Epoch 5/300 | Train Loss: 0.187395 | Val Loss: 0.079759
Epoch 6/300 | Train Loss: 0.165533 | Val Loss: 0.069101
Epoch 7/300 | Train Loss: 0.151675 | Val Loss: 0.150860
Epoch 8/300 | Train Loss: 0.158380 | Val Loss: 0.103387
Epoch 9/300 | Train Loss: 0.137658 | Val Loss: 0.062108
Epoch 10/300 | Train Loss: 0.131312 | Val Loss: 0.081790
Epoch 11/300 | Train Loss: 0.117833 | Val Loss: 0.056923
Epoch 12/300 | Train Loss: 0.112937 | Val Loss: 0.081042
Epoch 13/300 | Train Loss: 0.120466 | Val Loss: 0.062248
Epoch 14/300 | Train Loss: 0.100118 | Val Loss: 0.130502
Epoch 15/300 | Train Loss: 0.110140 | Val Loss: 0.059900
Epoch 16/300 | Train Loss: 0.090123 | Val Loss: 0.057282
Epoch 17/300 | Train Loss: 0.079553 | Val Loss: 0.035249
Epoch 18/300 | Train Loss: 0.058208 | Val Loss: 0.026724
Epoch 19/300 | Train Loss: 0.054656 | Val Loss: 0.021818
Epoch 20/300 | Train Loss: 0.044219 | Val Loss: 0.021336
Epoch 21/300 | Train Loss: 0.042240 | Val Loss: 0.020670
Epoch 22/300 | Train Loss: 0.039066 | Val Loss: 0.028952
Epoch 23/300 | Train Loss: 0.042473 | Val Loss: 0.056305
Epoch 24/300 | Train Loss: 0.039129 | Val Loss: 0.021443
Epoch 25/300 | Train Loss: 0.031813 | Val Loss: 0.021140
Epoch 26/300 | Train Loss: 0.027939 | Val Loss: 0.022176
Epoch 27/300 | Train Loss: 0.031358 | Val Loss: 0.027597
Epoch 28/300 | Train Loss: 0.028380 | Val Loss: 0.027719
Epoch 29/300 | Train Loss: 0.029063 | Val Loss: 0.027000
Epoch 30/300 | Train Loss: 0.030067 | Val Loss: 0.017672
Epoch 31/300 | Train Loss: 0.024075 | Val Loss: 0.013526
Epoch 32/300 | Train Loss: 0.023921 | Val Loss: 0.025341
Epoch 33/300 | Train Loss: 0.023437 | Val Loss: 0.019094
Epoch 34/300 | Train Loss: 0.023758 | Val Loss: 0.021103
Epoch 35/300 | Train Loss: 0.020805 | Val Loss: 0.018849
Epoch 36/300 | Train Loss: 0.029166 | Val Loss: 0.013362
Epoch 37/300 | Train Loss: 0.024104 | Val Loss: 0.015426
Epoch 38/300 | Train Loss: 0.019135 | Val Loss: 0.010496
Epoch 39/300 | Train Loss: 0.022728 | Val Loss: 0.015173
Epoch 40/300 | Train Loss: 0.018858 | Val Loss: 0.020150
Epoch 41/300 | Train Loss: 0.017738 | Val Loss: 0.012313
Epoch 42/300 | Train Loss: 0.014930 | Val Loss: 0.011038
Epoch 43/300 | Train Loss: 0.017639 | Val Loss: 0.020993
Epoch 44/300 | Train Loss: 0.018218 | Val Loss: 0.013625
Epoch 45/300 | Train Loss: 0.014900 | Val Loss: 0.017432
Epoch 46/300 | Train Loss: 0.017756 | Val Loss: 0.007971
Epoch 47/300 | Train Loss: 0.015000 | Val Loss: 0.008324
Epoch 48/300 | Train Loss: 0.015198 | Val Loss: 0.017878
Epoch 49/300 | Train Loss: 0.013548 | Val Loss: 0.010267
Epoch 50/300 | Train Loss: 0.013740 | Val Loss: 0.009306
Epoch 51/300 | Train Loss: 0.013132 | Val Loss: 0.009503
Epoch 52/300 | Train Loss: 0.011914 | Val Loss: 0.008000
Epoch 53/300 | Train Loss: 0.013156 | Val Loss: 0.010208
Epoch 54/300 | Train Loss: 0.010794 | Val Loss: 0.014261
Epoch 55/300 | Train Loss: 0.010919 | Val Loss: 0.008399
Epoch 56/300 | Train Loss: 0.011059 | Val Loss: 0.010386
Epoch 57/300 | Train Loss: 0.011039 | Val Loss: 0.006936
Epoch 58/300 | Train Loss: 0.011357 | Val Loss: 0.006494
Epoch 59/300 | Train Loss: 0.009953 | Val Loss: 0.007974
Epoch 60/300 | Train Loss: 0.009752 | Val Loss: 0.007938
Epoch 61/300 | Train Loss: 0.011451 | Val Loss: 0.008435
Epoch 62/300 | Train Loss: 0.010344 | Val Loss: 0.007523
Epoch 63/300 | Train Loss: 0.009083 | Val Loss: 0.019698
Epoch 64/300 | Train Loss: 0.010164 | Val Loss: 0.007573
Epoch 65/300 | Train Loss: 0.008687 | Val Loss: 0.039072
Epoch 66/300 | Train Loss: 0.013416 | Val Loss: 0.008849
Epoch 67/300 | Train Loss: 0.008483 | Val Loss: 0.009190
Epoch 68/300 | Train Loss: 0.008192 | Val Loss: 0.012145
Epoch 69/300 | Train Loss: 0.008299 | Val Loss: 0.007419
Epoch 70/300 | Train Loss: 0.008390 | Val Loss: 0.006609
Epoch 71/300 | Train Loss: 0.008601 | Val Loss: 0.010809
Epoch 72/300 | Train Loss: 0.008727 | Val Loss: 0.004898
Epoch 73/300 | Train Loss: 0.007449 | Val Loss: 0.005414
Epoch 74/300 | Train Loss: 0.008329 | Val Loss: 0.006281
Epoch 75/300 | Train Loss: 0.008542 | Val Loss: 0.008884
Epoch 76/300 | Train Loss: 0.008507 | Val Loss: 0.006986
Epoch 77/300 | Train Loss: 0.007531 | Val Loss: 0.005640
Epoch 78/300 | Train Loss: 0.007113 | Val Loss: 0.004747
Epoch 79/300 | Train Loss: 0.007492 | Val Loss: 0.005251
Epoch 80/300 | Train Loss: 0.006845 | Val Loss: 0.009780
Epoch 81/300 | Train Loss: 0.006660 | Val Loss: 0.005265
Epoch 82/300 | Train Loss: 0.006685 | Val Loss: 0.005574
Epoch 83/300 | Train Loss: 0.006136 | Val Loss: 0.008079
