
Running 15 experiments for TPInform...

[1/15] window=300, pred=60, stride=30, k=1000
Total dataset size: 5562
Using cuda...
Epoch 1/300 | Train Loss: 0.288744 | Val Loss: 0.009545
Epoch 2/300 | Train Loss: 0.009450 | Val Loss: 0.009361
Epoch 3/300 | Train Loss: 0.008734 | Val Loss: 0.013109
Epoch 4/300 | Train Loss: 0.010198 | Val Loss: 0.006226
Epoch 5/300 | Train Loss: 0.009106 | Val Loss: 0.006816
Epoch 6/300 | Train Loss: 0.008121 | Val Loss: 0.006112
Epoch 7/300 | Train Loss: 0.007057 | Val Loss: 0.007362
Epoch 8/300 | Train Loss: 0.006459 | Val Loss: 0.006019
Epoch 9/300 | Train Loss: 0.007074 | Val Loss: 0.006201
Epoch 10/300 | Train Loss: 0.006581 | Val Loss: 0.006299
Epoch 11/300 | Train Loss: 0.006915 | Val Loss: 0.004946
Epoch 12/300 | Train Loss: 0.007257 | Val Loss: 0.011804
Epoch 13/300 | Train Loss: 0.008131 | Val Loss: 0.005890
Epoch 14/300 | Train Loss: 0.007590 | Val Loss: 0.004635
Epoch 15/300 | Train Loss: 0.006980 | Val Loss: 0.006569
Epoch 16/300 | Train Loss: 0.007118 | Val Loss: 0.007076
Epoch 17/300 | Train Loss: 0.006846 | Val Loss: 0.007576
Epoch 18/300 | Train Loss: 0.006111 | Val Loss: 0.005596
Epoch 19/300 | Train Loss: 0.006260 | Val Loss: 0.009488
Epoch 20/300 | Train Loss: 0.006380 | Val Loss: 0.005076
Epoch 21/300 | Train Loss: 0.005194 | Val Loss: 0.004174
Epoch 22/300 | Train Loss: 0.005535 | Val Loss: 0.004207
Epoch 23/300 | Train Loss: 0.005238 | Val Loss: 0.003896
Epoch 24/300 | Train Loss: 0.005179 | Val Loss: 0.005486
Epoch 25/300 | Train Loss: 0.005493 | Val Loss: 0.006251
Epoch 26/300 | Train Loss: 0.005134 | Val Loss: 0.004457
Epoch 27/300 | Train Loss: 0.005294 | Val Loss: 0.004080
Epoch 28/300 | Train Loss: 0.004425 | Val Loss: 0.003516
Epoch 29/300 | Train Loss: 0.005315 | Val Loss: 0.003750
Epoch 30/300 | Train Loss: 0.004028 | Val Loss: 0.003064
Epoch 31/300 | Train Loss: 0.003665 | Val Loss: 0.003182
Epoch 32/300 | Train Loss: 0.004303 | Val Loss: 0.002735
Epoch 33/300 | Train Loss: 0.003964 | Val Loss: 0.002731
Epoch 34/300 | Train Loss: 0.003438 | Val Loss: 0.002704
Epoch 35/300 | Train Loss: 0.004340 | Val Loss: 0.002176
Epoch 36/300 | Train Loss: 0.003019 | Val Loss: 0.003323
Epoch 37/300 | Train Loss: 0.003637 | Val Loss: 0.002093
Epoch 38/300 | Train Loss: 0.003001 | Val Loss: 0.002812
Epoch 39/300 | Train Loss: 0.003434 | Val Loss: 0.003227
Epoch 40/300 | Train Loss: 0.002687 | Val Loss: 0.001788
Epoch 41/300 | Train Loss: 0.002702 | Val Loss: 0.001875
Epoch 42/300 | Train Loss: 0.002812 | Val Loss: 0.003853
Epoch 43/300 | Train Loss: 0.002909 | Val Loss: 0.002162
Epoch 44/300 | Train Loss: 0.002446 | Val Loss: 0.002372
Epoch 45/300 | Train Loss: 0.002471 | Val Loss: 0.002701
Epoch 46/300 | Train Loss: 0.002703 | Val Loss: 0.001731
Epoch 47/300 | Train Loss: 0.002450 | Val Loss: 0.001706
Epoch 48/300 | Train Loss: 0.002793 | Val Loss: 0.002525
Epoch 49/300 | Train Loss: 0.002132 | Val Loss: 0.001577
Epoch 50/300 | Train Loss: 0.002674 | Val Loss: 0.007050
Epoch 51/300 | Train Loss: 0.002055 | Val Loss: 0.001490
Epoch 52/300 | Train Loss: 0.002056 | Val Loss: 0.002141
Epoch 53/300 | Train Loss: 0.001982 | Val Loss: 0.001684
Epoch 54/300 | Train Loss: 0.002342 | Val Loss: 0.001760
Epoch 55/300 | Train Loss: 0.001978 | Val Loss: 0.001418
Epoch 56/300 | Train Loss: 0.001821 | Val Loss: 0.001268
Epoch 57/300 | Train Loss: 0.002351 | Val Loss: 0.001599
Epoch 58/300 | Train Loss: 0.001963 | Val Loss: 0.001997
Epoch 59/300 | Train Loss: 0.001874 | Val Loss: 0.001485
Epoch 60/300 | Train Loss: 0.001817 | Val Loss: 0.002420
Epoch 61/300 | Train Loss: 0.001948 | Val Loss: 0.001329
Epoch 62/300 | Train Loss: 0.001872 | Val Loss: 0.002216
Epoch 63/300 | Train Loss: 0.001885 | Val Loss: 0.001237
Epoch 64/300 | Train Loss: 0.002229 | Val Loss: 0.001531
Epoch 65/300 | Train Loss: 0.001683 | Val Loss: 0.001988
Epoch 66/300 | Train Loss: 0.002454 | Val Loss: 0.001497
Epoch 67/300 | Train Loss: 0.001810 | Val Loss: 0.002010
Epoch 68/300 | Train Loss: 0.001849 | Val Loss: 0.001542
Epoch 69/300 | Train Loss: 0.001621 | Val Loss: 0.001865
Epoch 70/300 | Train Loss: 0.001649 | Val Loss: 0.001534
Epoch 71/300 | Train Loss: 0.001624 | Val Loss: 0.001161
Epoch 72/300 | Train Loss: 0.001485 | Val Loss: 0.001279
Epoch 73/300 | Train Loss: 0.001704 | Val Loss: 0.002143
Epoch 74/300 | Train Loss: 0.001973 | Val Loss: 0.001405
Epoch 75/300 | Train Loss: 0.001666 | Val Loss: 0.002153
Epoch 76/300 | Train Loss: 0.001739 | Val Loss: 0.001426
Epoch 77/300 | Train Loss: 0.001792 | Val Loss: 0.002000
Epoch 78/300 | Train Loss: 0.001573 | Val Loss: 0.001592
Epoch 79/300 | Train Loss: 0.001580 | Val Loss: 0.001848
Epoch 80/300 | Train Loss: 0.001912 | Val Loss: 0.001195
Epoch 81/300 | Train Loss: 0.001553 | Val Loss: 0.001239
Epoch 82/300 | Train Loss: 0.001870 | Val Loss: 0.001303
Epoch 83/300 | Train Loss: 0.001658 | Val Loss: 0.001985
Epoch 84/300 | Train Loss: 0.001553 | Val Loss: 0.002155
Epoch 85/300 | Train Loss: 0.001658 | Val Loss: 0.001647
Epoch 86/300 | Train Loss: 0.001548 | Val Loss: 0.001440
Epoch 87/300 | Train Loss: 0.001409 | Val Loss: 0.001471
Epoch 88/300 | Train Loss: 0.001508 | Val Loss: 0.001044
Epoch 89/300 | Train Loss: 0.001689 | Val Loss: 0.001807
Epoch 90/300 | Train Loss: 0.001609 | Val Loss: 0.001718
Epoch 91/300 | Train Loss: 0.001598 | Val Loss: 0.001464
Epoch 92/300 | Train Loss: 0.001724 | Val Loss: 0.001701
Epoch 93/300 | Train Loss: 0.001572 | Val Loss: 0.001380
Epoch 94/300 | Train Loss: 0.001419 | Val Loss: 0.001820
Epoch 95/300 | Train Loss: 0.001578 | Val Loss: 0.001179
Epoch 96/300 | Train Loss: 0.001627 | Val Loss: 0.001693
Epoch 97/300 | Train Loss: 0.001646 | Val Loss: 0.001234
Epoch 98/300 | Train Loss: 0.001502 | Val Loss: 0.001170
Epoch 99/300 | Train Loss: 0.001445 | Val Loss: 0.001472
Epoch 100/300 | Train Loss: 0.001321 | Val Loss: 0.001074
Epoch 101/300 | Train Loss: 0.001499 | Val Loss: 0.001985
Epoch 102/300 | Train Loss: 0.001638 | Val Loss: 0.002923
Epoch 103/300 | Train Loss: 0.001458 | Val Loss: 0.001371
Epoch 104/300 | Train Loss: 0.001598 | Val Loss: 0.002773
Epoch 105/300 | Train Loss: 0.001762 | Val Loss: 0.001420
Epoch 106/300 | Train Loss: 0.001526 | Val Loss: 0.001172
Epoch 107/300 | Train Loss: 0.001350 | Val Loss: 0.001665
Epoch 108/300 | Train Loss: 0.001402 | Val Loss: 0.001325
Epoch 109/300 | Train Loss: 0.001611 | Val Loss: 0.001561
Epoch 110/300 | Train Loss: 0.001481 | Val Loss: 0.001154
Epoch 111/300 | Train Loss: 0.001496 | Val Loss: 0.001407
Epoch 112/300 | Train Loss: 0.001413 | Val Loss: 0.001118
Epoch 113/300 | Train Loss: 0.001461 | Val Loss: 0.002545
Epoch 114/300 | Train Loss: 0.001578 | Val Loss: 0.001395
Epoch 115/300 | Train Loss: 0.001373 | Val Loss: 0.001695
Epoch 116/300 | Train Loss: 0.001355 | Val Loss: 0.001604
Epoch 117/300 | Train Loss: 0.001590 | Val Loss: 0.001212
Epoch 118/300 | Train Loss: 0.001606 | Val Loss: 0.003068
Epoch 119/300 | Train Loss: 0.001433 | Val Loss: 0.001902
Epoch 120/300 | Train Loss: 0.001309 | Val Loss: 0.000980
Epoch 121/300 | Train Loss: 0.001664 | Val Loss: 0.001272
Epoch 122/300 | Train Loss: 0.001333 | Val Loss: 0.001304
Epoch 123/300 | Train Loss: 0.001614 | Val Loss: 0.001335
Epoch 124/300 | Train Loss: 0.001362 | Val Loss: 0.001248
Epoch 125/300 | Train Loss: 0.001375 | Val Loss: 0.001891
Epoch 126/300 | Train Loss: 0.001657 | Val Loss: 0.001365
Epoch 127/300 | Train Loss: 0.001634 | Val Loss: 0.001233
Epoch 128/300 | Train Loss: 0.001329 | Val Loss: 0.001107
Epoch 129/300 | Train Loss: 0.001393 | Val Loss: 0.001425
Epoch 130/300 | Train Loss: 0.001419 | Val Loss: 0.000989
Epoch 131/300 | Train Loss: 0.001206 | Val Loss: 0.000984
Epoch 132/300 | Train Loss: 0.001353 | Val Loss: 0.001043
Epoch 133/300 | Train Loss: 0.001363 | Val Loss: 0.001160
Epoch 134/300 | Train Loss: 0.001503 | Val Loss: 0.002362
Epoch 135/300 | Train Loss: 0.001408 | Val Loss: 0.001120
Epoch 136/300 | Train Loss: 0.001209 | Val Loss: 0.001328
Epoch 137/300 | Train Loss: 0.001363 | Val Loss: 0.001165
Epoch 138/300 | Train Loss: 0.001241 | Val Loss: 0.001125
Epoch 139/300 | Train Loss: 0.001230 | Val Loss: 0.001845
Epoch 140/300 | Train Loss: 0.001352 | Val Loss: 0.001167
Early stopping at epoch 140
Test Loss: 0.001173
train=0.001352, val=0.001167, test=0.001173

[2/15] window=360, pred=120, stride=30, k=1000
Total dataset size: 4615
Using cuda...
Epoch 1/300 | Train Loss: 1.653116 | Val Loss: 0.050598
Epoch 2/300 | Train Loss: 0.040258 | Val Loss: 0.028896
Epoch 3/300 | Train Loss: 0.037179 | Val Loss: 0.043714
Epoch 4/300 | Train Loss: 0.038223 | Val Loss: 0.027325
Epoch 5/300 | Train Loss: 0.033062 | Val Loss: 0.035675
Epoch 6/300 | Train Loss: 0.036214 | Val Loss: 0.023417
Epoch 7/300 | Train Loss: 0.029712 | Val Loss: 0.037796
Epoch 8/300 | Train Loss: 0.036289 | Val Loss: 0.048763
Epoch 9/300 | Train Loss: 0.030888 | Val Loss: 0.024767
Epoch 10/300 | Train Loss: 0.029148 | Val Loss: 0.024951
Epoch 11/300 | Train Loss: 0.029554 | Val Loss: 0.028119
Epoch 12/300 | Train Loss: 0.028923 | Val Loss: 0.022713
Epoch 13/300 | Train Loss: 0.025746 | Val Loss: 0.064179
Epoch 14/300 | Train Loss: 0.028507 | Val Loss: 0.018603
Epoch 15/300 | Train Loss: 0.030620 | Val Loss: 0.018593
Epoch 16/300 | Train Loss: 0.033001 | Val Loss: 0.023801
Epoch 17/300 | Train Loss: 0.024840 | Val Loss: 0.022040
Epoch 18/300 | Train Loss: 0.026695 | Val Loss: 0.019140
Epoch 19/300 | Train Loss: 0.025022 | Val Loss: 0.023474
Epoch 20/300 | Train Loss: 0.025754 | Val Loss: 0.031594
Epoch 21/300 | Train Loss: 0.025847 | Val Loss: 0.032179
Epoch 22/300 | Train Loss: 0.022355 | Val Loss: 0.018865
Epoch 23/300 | Train Loss: 0.027685 | Val Loss: 0.023317
Epoch 24/300 | Train Loss: 0.023480 | Val Loss: 0.035212
Epoch 25/300 | Train Loss: 0.020978 | Val Loss: 0.017417
Epoch 26/300 | Train Loss: 0.020324 | Val Loss: 0.028305
Epoch 27/300 | Train Loss: 0.024354 | Val Loss: 0.020117
Epoch 28/300 | Train Loss: 0.022945 | Val Loss: 0.027852
Epoch 29/300 | Train Loss: 0.021446 | Val Loss: 0.017085
Epoch 30/300 | Train Loss: 0.022152 | Val Loss: 0.018340
Epoch 31/300 | Train Loss: 0.021668 | Val Loss: 0.015209
Epoch 32/300 | Train Loss: 0.022524 | Val Loss: 0.059543
Epoch 33/300 | Train Loss: 0.023939 | Val Loss: 0.015786
Epoch 34/300 | Train Loss: 0.020699 | Val Loss: 0.022893
Epoch 35/300 | Train Loss: 0.020865 | Val Loss: 0.013820
Epoch 36/300 | Train Loss: 0.017052 | Val Loss: 0.015695
Epoch 37/300 | Train Loss: 0.018208 | Val Loss: 0.015203
Epoch 38/300 | Train Loss: 0.018143 | Val Loss: 0.015393
Epoch 39/300 | Train Loss: 0.019594 | Val Loss: 0.013115
Epoch 40/300 | Train Loss: 0.015115 | Val Loss: 0.011153
Epoch 41/300 | Train Loss: 0.014591 | Val Loss: 0.019783
Epoch 42/300 | Train Loss: 0.015832 | Val Loss: 0.017606
Epoch 43/300 | Train Loss: 0.014421 | Val Loss: 0.009778
Epoch 44/300 | Train Loss: 0.013362 | Val Loss: 0.010960
Epoch 45/300 | Train Loss: 0.013634 | Val Loss: 0.011321
Epoch 46/300 | Train Loss: 0.014022 | Val Loss: 0.013892
Epoch 47/300 | Train Loss: 0.013090 | Val Loss: 0.010133
Epoch 48/300 | Train Loss: 0.014863 | Val Loss: 0.027214
Epoch 49/300 | Train Loss: 0.016081 | Val Loss: 0.009509
Epoch 50/300 | Train Loss: 0.013087 | Val Loss: 0.013231
Epoch 51/300 | Train Loss: 0.011938 | Val Loss: 0.011732
Epoch 52/300 | Train Loss: 0.012190 | Val Loss: 0.008520
Epoch 53/300 | Train Loss: 0.012321 | Val Loss: 0.015214
Epoch 54/300 | Train Loss: 0.011304 | Val Loss: 0.009310
