Starting training for TempTPI with the following parameters:
	k - 1000
	epochs - 300
	DS: Max timediff in seq - 15
	DS: Total window size - 420
	DS: Prediction window size - 60
	DS: Stride - 15
	Training: Batch size - 32
	Training: Learning rate - 0.0001

Total dataset size: 37114
Using cuda...
Epoch 1/300 | Train Loss: 0.052715 | Val Loss: 0.006723
Epoch 2/300 | Train Loss: 0.008540 | Val Loss: 0.005899
Epoch 3/300 | Train Loss: 0.007746 | Val Loss: 0.006067
Epoch 4/300 | Train Loss: 0.007403 | Val Loss: 0.008472
Epoch 5/300 | Train Loss: 0.006091 | Val Loss: 0.005112
Epoch 6/300 | Train Loss: 0.004362 | Val Loss: 0.003984
Epoch 7/300 | Train Loss: 0.003664 | Val Loss: 0.002762
Epoch 8/300 | Train Loss: 0.003171 | Val Loss: 0.002177
Epoch 9/300 | Train Loss: 0.002752 | Val Loss: 0.002432
Epoch 10/300 | Train Loss: 0.002689 | Val Loss: 0.002545
Epoch 11/300 | Train Loss: 0.002442 | Val Loss: 0.002179
Epoch 12/300 | Train Loss: 0.002322 | Val Loss: 0.002241
Epoch 13/300 | Train Loss: 0.002173 | Val Loss: 0.002257
Epoch 14/300 | Train Loss: 0.002017 | Val Loss: 0.004450
Epoch 15/300 | Train Loss: 0.001930 | Val Loss: 0.001584
Epoch 16/300 | Train Loss: 0.001815 | Val Loss: 0.002826
Epoch 17/300 | Train Loss: 0.001914 | Val Loss: 0.001473
Epoch 18/300 | Train Loss: 0.001842 | Val Loss: 0.001429
Epoch 19/300 | Train Loss: 0.001720 | Val Loss: 0.002019
Epoch 20/300 | Train Loss: 0.001791 | Val Loss: 0.002470
Epoch 21/300 | Train Loss: 0.001686 | Val Loss: 0.001681
Epoch 22/300 | Train Loss: 0.001682 | Val Loss: 0.002342
Epoch 23/300 | Train Loss: 0.001565 | Val Loss: 0.001499
Epoch 24/300 | Train Loss: 0.001621 | Val Loss: 0.001626
Epoch 25/300 | Train Loss: 0.001538 | Val Loss: 0.001502
Epoch 26/300 | Train Loss: 0.001562 | Val Loss: 0.001416
