Starting training for TPInform with the following parameters:
	k - 1000
	epochs - 300
	DS: Max timediff in seq - 15
	DS: Total window size - 420
	DS: Prediction window size - 60
	DS: Stride - 15
	Training: Batch size - 32
	Training: Learning rate - 0.0001

Total dataset size: 37114
Using cuda...
Epoch 1/300 | Train Loss: 0.049085 | Val Loss: 0.015954
Epoch 2/300 | Train Loss: 0.007749 | Val Loss: 0.004875
Epoch 3/300 | Train Loss: 0.006845 | Val Loss: 0.004521
Epoch 4/300 | Train Loss: 0.006987 | Val Loss: 0.006015
Epoch 5/300 | Train Loss: 0.005059 | Val Loss: 0.007763
Epoch 6/300 | Train Loss: 0.003660 | Val Loss: 0.002705
Epoch 7/300 | Train Loss: 0.003513 | Val Loss: 0.002158
Epoch 8/300 | Train Loss: 0.002873 | Val Loss: 0.002121
Epoch 9/300 | Train Loss: 0.002334 | Val Loss: 0.002048
Epoch 10/300 | Train Loss: 0.002184 | Val Loss: 0.004779
Epoch 11/300 | Train Loss: 0.001993 | Val Loss: 0.001302
Epoch 12/300 | Train Loss: 0.002015 | Val Loss: 0.001967
Epoch 13/300 | Train Loss: 0.001947 | Val Loss: 0.001136
Epoch 14/300 | Train Loss: 0.001718 | Val Loss: 0.002901
Epoch 15/300 | Train Loss: 0.001651 | Val Loss: 0.003745
Epoch 16/300 | Train Loss: 0.001710 | Val Loss: 0.001191
Epoch 17/300 | Train Loss: 0.001639 | Val Loss: 0.001222
Epoch 18/300 | Train Loss: 0.001622 | Val Loss: 0.001299
Epoch 19/300 | Train Loss: 0.001499 | Val Loss: 0.001514
Epoch 20/300 | Train Loss: 0.001580 | Val Loss: 0.001140
Epoch 21/300 | Train Loss: 0.001516 | Val Loss: 0.001759
Epoch 22/300 | Train Loss: 0.001432 | Val Loss: 0.001104
Epoch 23/300 | Train Loss: 0.001431 | Val Loss: 0.001756
Epoch 24/300 | Train Loss: 0.001440 | Val Loss: 0.001138
Epoch 25/300 | Train Loss: 0.001342 | Val Loss: 0.001410
Epoch 26/300 | Train Loss: 0.001323 | Val Loss: 0.001172
Epoch 27/300 | Train Loss: 0.001386 | Val Loss: 0.001969
Epoch 28/300 | Train Loss: 0.001246 | Val Loss: 0.001183
Epoch 29/300 | Train Loss: 0.001315 | Val Loss: 0.001006
Epoch 30/300 | Train Loss: 0.001235 | Val Loss: 0.001817
Epoch 31/300 | Train Loss: 0.001235 | Val Loss: 0.001549
Epoch 32/300 | Train Loss: 0.001265 | Val Loss: 0.001949
Epoch 33/300 | Train Loss: 0.001228 | Val Loss: 0.001228
Epoch 34/300 | Train Loss: 0.001206 | Val Loss: 0.001719
Epoch 35/300 | Train Loss: 0.001184 | Val Loss: 0.001132
Epoch 36/300 | Train Loss: 0.001152 | Val Loss: 0.001264
Epoch 37/300 | Train Loss: 0.001150 | Val Loss: 0.001284
Epoch 38/300 | Train Loss: 0.001199 | Val Loss: 0.001389
