Starting training for TPTrans with the following parameters:
	k - 1000
	epochs - 300
	DS: Max timediff in seq - 15
	DS: Total window size - 420
	DS: Prediction window size - 60
	DS: Stride - 15
	Training: Batch size - 32
	Training: Learning rate - 0.0001

Total dataset size: 37114
Using cuda...
Epoch 1/300 | Train Loss: 0.025809 | Val Loss: 0.003374
Epoch 2/300 | Train Loss: 0.004433 | Val Loss: 0.002561
Epoch 3/300 | Train Loss: 0.003774 | Val Loss: 0.006795
Epoch 4/300 | Train Loss: 0.003377 | Val Loss: 0.002410
Epoch 5/300 | Train Loss: 0.003365 | Val Loss: 0.002299
Epoch 6/300 | Train Loss: 0.002472 | Val Loss: 0.001384
Epoch 7/300 | Train Loss: 0.002257 | Val Loss: 0.002929
Epoch 8/300 | Train Loss: 0.002129 | Val Loss: 0.001182
Epoch 9/300 | Train Loss: 0.001974 | Val Loss: 0.001368
Epoch 10/300 | Train Loss: 0.001679 | Val Loss: 0.001188
Epoch 11/300 | Train Loss: 0.001779 | Val Loss: 0.001321
Epoch 12/300 | Train Loss: 0.001542 | Val Loss: 0.001429
Epoch 13/300 | Train Loss: 0.001517 | Val Loss: 0.001279
Epoch 14/300 | Train Loss: 0.001401 | Val Loss: 0.001773
Epoch 15/300 | Train Loss: 0.001507 | Val Loss: 0.001250
Epoch 16/300 | Train Loss: 0.001371 | Val Loss: 0.002057
Epoch 17/300 | Train Loss: 0.001432 | Val Loss: 0.002453
Epoch 18/300 | Train Loss: 0.001308 | Val Loss: 0.001192
Epoch 19/300 | Train Loss: 0.001269 | Val Loss: 0.001250
Epoch 20/300 | Train Loss: 0.001237 | Val Loss: 0.001393
Epoch 21/300 | Train Loss: 0.001193 | Val Loss: 0.001995
Epoch 22/300 | Train Loss: 0.001212 | Val Loss: 0.001803
Epoch 23/300 | Train Loss: 0.001120 | Val Loss: 0.001123
Epoch 24/300 | Train Loss: 0.001132 | Val Loss: 0.001251
Epoch 25/300 | Train Loss: 0.001106 | Val Loss: 0.001301
Epoch 26/300 | Train Loss: 0.001100 | Val Loss: 0.001585
Epoch 27/300 | Train Loss: 0.001081 | Val Loss: 0.002564
Epoch 28/300 | Train Loss: 0.001126 | Val Loss: 0.001004
Epoch 29/300 | Train Loss: 0.001001 | Val Loss: 0.001066
Epoch 30/300 | Train Loss: 0.001056 | Val Loss: 0.001076
Epoch 31/300 | Train Loss: 0.001054 | Val Loss: 0.001580
Epoch 32/300 | Train Loss: 0.001010 | Val Loss: 0.000991
Epoch 33/300 | Train Loss: 0.000985 | Val Loss: 0.000907
Epoch 34/300 | Train Loss: 0.000991 | Val Loss: 0.001186
Epoch 35/300 | Train Loss: 0.000949 | Val Loss: 0.000977
