Total dataset size: 53479
Using cuda...
Epoch 1/300 | Train Loss: 1.049916 | Val Loss: 0.175109
Epoch 2/300 | Train Loss: 0.164243 | Val Loss: 0.124988
Epoch 3/300 | Train Loss: 0.153747 | Val Loss: 0.168572
Epoch 4/300 | Train Loss: 0.121665 | Val Loss: 0.123665
Epoch 5/300 | Train Loss: 0.095741 | Val Loss: 0.154866
Epoch 6/300 | Train Loss: 0.088171 | Val Loss: 0.099395
Epoch 7/300 | Train Loss: 0.083160 | Val Loss: 0.073272
Epoch 8/300 | Train Loss: 0.076263 | Val Loss: 0.063927
Epoch 9/300 | Train Loss: 0.068078 | Val Loss: 0.056660
Epoch 10/300 | Train Loss: 0.061697 | Val Loss: 0.068028
Epoch 11/300 | Train Loss: 0.058532 | Val Loss: 0.052583
Epoch 12/300 | Train Loss: 0.054130 | Val Loss: 0.055846
Epoch 13/300 | Train Loss: 0.051144 | Val Loss: 0.048205
Epoch 14/300 | Train Loss: 0.046074 | Val Loss: 0.049812
Epoch 15/300 | Train Loss: 0.043879 | Val Loss: 0.038371
Epoch 16/300 | Train Loss: 0.041786 | Val Loss: 0.042009
Epoch 17/300 | Train Loss: 0.040349 | Val Loss: 0.036691
Epoch 18/300 | Train Loss: 0.037323 | Val Loss: 0.033594
Epoch 19/300 | Train Loss: 0.035637 | Val Loss: 0.036741
Epoch 20/300 | Train Loss: 0.032867 | Val Loss: 0.037159
Epoch 21/300 | Train Loss: 0.031057 | Val Loss: 0.028941
Epoch 22/300 | Train Loss: 0.029419 | Val Loss: 0.027983
Epoch 23/300 | Train Loss: 0.027917 | Val Loss: 0.027829
Epoch 24/300 | Train Loss: 0.026891 | Val Loss: 0.026987
Epoch 25/300 | Train Loss: 0.025319 | Val Loss: 0.024425
Epoch 26/300 | Train Loss: 0.024310 | Val Loss: 0.031767
Epoch 27/300 | Train Loss: 0.023842 | Val Loss: 0.023023
Epoch 28/300 | Train Loss: 0.022696 | Val Loss: 0.026948
Epoch 29/300 | Train Loss: 0.021451 | Val Loss: 0.020442
Epoch 30/300 | Train Loss: 0.021284 | Val Loss: 0.020449
Epoch 31/300 | Train Loss: 0.020640 | Val Loss: 0.020405
Epoch 32/300 | Train Loss: 0.020440 | Val Loss: 0.020795
Epoch 33/300 | Train Loss: 0.019789 | Val Loss: 0.021344
Epoch 34/300 | Train Loss: 0.018841 | Val Loss: 0.016868
Epoch 35/300 | Train Loss: 0.017870 | Val Loss: 0.017344
Epoch 36/300 | Train Loss: 0.017302 | Val Loss: 0.017285
Epoch 37/300 | Train Loss: 0.017033 | Val Loss: 0.015999
Epoch 38/300 | Train Loss: 0.016434 | Val Loss: 0.018374
Epoch 39/300 | Train Loss: 0.015814 | Val Loss: 0.016879
Epoch 40/300 | Train Loss: 0.015390 | Val Loss: 0.016244
Epoch 41/300 | Train Loss: 0.015225 | Val Loss: 0.015483
Epoch 42/300 | Train Loss: 0.014713 | Val Loss: 0.015045
Epoch 43/300 | Train Loss: 0.014270 | Val Loss: 0.013367
Epoch 44/300 | Train Loss: 0.013958 | Val Loss: 0.014057
Epoch 45/300 | Train Loss: 0.013048 | Val Loss: 0.012482
Epoch 46/300 | Train Loss: 0.013188 | Val Loss: 0.012817
Epoch 47/300 | Train Loss: 0.012582 | Val Loss: 0.013476
Epoch 48/300 | Train Loss: 0.012142 | Val Loss: 0.014001
Epoch 49/300 | Train Loss: 0.011726 | Val Loss: 0.012968
Epoch 50/300 | Train Loss: 0.011481 | Val Loss: 0.011087
Epoch 51/300 | Train Loss: 0.011436 | Val Loss: 0.012506
Epoch 52/300 | Train Loss: 0.010878 | Val Loss: 0.011657
Epoch 53/300 | Train Loss: 0.010528 | Val Loss: 0.010114
Epoch 54/300 | Train Loss: 0.010314 | Val Loss: 0.011941
Epoch 55/300 | Train Loss: 0.009703 | Val Loss: 0.011158
Epoch 56/300 | Train Loss: 0.009734 | Val Loss: 0.010550
Epoch 57/300 | Train Loss: 0.009511 | Val Loss: 0.009279
Epoch 58/300 | Train Loss: 0.009042 | Val Loss: 0.009033
Epoch 59/300 | Train Loss: 0.009332 | Val Loss: 0.009541
Epoch 60/300 | Train Loss: 0.008670 | Val Loss: 0.009381
Epoch 61/300 | Train Loss: 0.008490 | Val Loss: 0.008583
Epoch 62/300 | Train Loss: 0.008030 | Val Loss: 0.008031
Epoch 63/300 | Train Loss: 0.008151 | Val Loss: 0.009474
Epoch 64/300 | Train Loss: 0.007666 | Val Loss: 0.008226
Epoch 65/300 | Train Loss: 0.007605 | Val Loss: 0.007665
